,Computers available,Departed wait queue,Patrons today,Patrons_waiting 1,Patrons_waiting 10,Patrons_waiting 2,Patrons_waiting 3,Patrons_waiting 4,Patrons_waiting 5,Patrons_waiting 6,Patrons_waiting 7,Patrons_waiting 8,Patrons_waiting 9,Utilization 1,Utilization 10,Utilization 2,Utilization 3,Utilization 4,Utilization 5,Utilization 6,Utilization 7,Utilization 8,Utilization 9,max wait duration,median wait duration,min wait duration,Inventory qty
80,70,159,545,0,20,0,0,23,74,129,137,83,55,0.2,0.9857142857142858,0.42857142857142855,0.5285714285714286,1.0,0.9857142857142858,1.0,1.0,1.0,0.9857142857142858,88.0,44.0,0.0,75
81,71,120,571,0,70,0,0,12,76,154,172,127,85,0.23943661971830985,0.8450704225352113,0.36619718309859156,0.5492957746478874,1.0,1.0,0.9859154929577465,0.9859154929577465,1.0,1.0,85.0,33.0,0.0,75
82,71,109,516,0,50,0,0,0,59,105,140,95,71,0.18309859154929578,0.9014084507042254,0.352112676056338,0.5492957746478874,0.971830985915493,1.0,0.9859154929577465,0.9859154929577465,0.9859154929577465,1.0,89.0,29.0,0.0,75
83,71,124,511,0,28,0,0,3,44,113,151,88,57,0.15492957746478872,0.9859154929577465,0.29577464788732394,0.38028169014084506,0.9859154929577465,1.0,0.9859154929577465,0.9859154929577465,1.0,1.0,88.0,32.0,0.0,75
84,71,108,503,0,40,0,0,12,65,133,149,87,50,0.19718309859154928,0.8169014084507042,0.2676056338028169,0.4788732394366197,1.0,1.0,0.9859154929577465,1.0,0.9859154929577465,1.0,86.0,30.0,0.0,75
85,70,106,556,0,103,0,0,16,65,158,178,150,124,0.11428571428571428,0.9285714285714286,0.3142857142857143,0.4142857142857143,0.9857142857142858,0.9857142857142858,0.9857142857142858,0.9857142857142858,0.9857142857142858,1.0,89.0,30.0,0.0,75
86,70,150,518,0,0,0,0,0,38,95,89,43,2,0.24285714285714285,0.7857142857142857,0.2571428571428571,0.4,0.7857142857142857,1.0,0.9857142857142858,0.9857142857142858,0.9857142857142858,1.0,88.0,36.0,0.0,75
87,70,116,519,0,8,0,0,15,67,91,101,54,28,0.2857142857142857,0.8857142857142857,0.34285714285714286,0.4714285714285714,1.0,1.0,0.9857142857142858,1.0,1.0,1.0,89.0,35.0,0.0,75
88,71,80,523,0,84,0,0,0,49,118,142,135,108,0.2112676056338028,0.9436619718309859,0.43661971830985913,0.5211267605633803,0.9577464788732394,1.0,0.9859154929577465,0.9859154929577465,1.0,1.0,89.0,26.0,0.0,75
89,70,80,510,0,48,0,0,7,53,117,132,84,66,0.22857142857142856,0.9714285714285714,0.2857142857142857,0.4142857142857143,1.0,0.9857142857142858,1.0,1.0,1.0,1.0,82.0,24.0,0.0,75
90,140,64,549,0,77,0,0,0,0,96,149,130,94,0.1,0.9357142857142857,0.17142857142857143,0.3,0.6357142857142857,0.9928571428571429,0.9928571428571429,1.0,1.0,1.0,85.0,8.0,0.0,150
